DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00432,Trifluridine,70-00-8,SmallMoleculeDrug,,D00391,6256,46506192,75179,PA451775,,,,,1923,http://www.rxlist.com/cgi/generic2/trifluridine.htm,,Trifluridine,http://www.drugs.com/cdi/trifluridine-drops.html,,6020,50132298,DAP000760
DB00433,Prochlorperazine,58-38-8,SmallMoleculeDrug,C07403,D00493,4917,46509018,8435,PA451114,P77,,,,7991; 7990,http://www.rxlist.com/cgi/generic/prochlr.htm,,Prochlorperazine,http://www.drugs.com/cdi/prochlorperazine.html,,4748,78434,DAP000373
DB00434,Cyproheptadine,129-03-3,SmallMoleculeDrug,C06935,,2913,46508613,4046,PA164749366,C7H,,,,10029,http://www.rxlist.com/cgi/generic2/cyprohept.htm,,Cyproheptadine,http://www.drugs.com/cdi/cyproheptadine.html,,2810,50017721,DAP000103
DB00435,Nitric Oxide,10102-43-9,SmallMoleculeDrug,C00533,D00074,145068,46506897,16480,PA450635,,,,,16163,http://www.rxlist.com/cgi/generic/inomax.htm,,Nitric_Oxide,http://www.drugs.com/mtm/nitric-oxide-inhalation-gas.html,,127983,,DAP001056
DB00436,Bendroflumethiazide,73-48-3,SmallMoleculeDrug,C07758,D00650,2315,46508672,3013,PA448563,,,,,9550,,,Bendroflumethiazide,http://www.drugs.com/cdi/bendroflumethiazide.html,,2225,,DAP000188
DB00437,Allopurinol,315-30-0,SmallMoleculeDrug,,D00224,2094,46508516,40279,PA448320,7HP,,,,9388,http://www.rxlist.com/cgi/generic/allopur.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/zyl1508.shtml,Allopurinol,http://www.drugs.com/allopurinol.html,,2010,181133,DAP000773
DB00438,Ceftazidime,72558-82-8,SmallMoleculeDrug,C06889,D07654,5481173,46506143,3508,PA448861,,,,,8344,http://www.rxlist.com/cgi/generic2/ceftaz.htm,,Ceftazidime,http://www.drugs.com/cdi/ceftazidime.html,,4587145,50420259,DAP000433
DB00440,Trimethoprim,738-70-5,SmallMoleculeDrug,C01965,D00145,5578,46507125,45924,PA451788,TOP,,,,8452,http://www.rxlist.com/cgi/generic2/trimeth.htm,,Trimethoprim,http://www.drugs.com/cdi/trimethoprim.html,,5376,18069,DAP000927
DB00441,Gemcitabine,95058-81-4,SmallMoleculeDrug,C07650,D02368,60750,46506425,175901,PA449748,GEO,,,,11262,http://www.rxlist.com/cgi/generic/gemcitab.htm,,Gemcitabine,http://www.drugs.com/cdi/gemcitabine.html,,54753,,DAP001246
DB00442,Entecavir,142217-69-4,SmallMoleculeDrug,,D04008,,,473990,PA164784025,,,,,13030,http://www.rxlist.com/cgi/generic4/baraclude.htm,,Entecavir,http://www.drugs.com/cdi/entecavir.html,,135679,,DAP000697
DB00443,Betamethasone,378-44-9,SmallMoleculeDrug,,D00244,9782,46505155,3077,PA164754818,,,,,7610; 7603; 7606; 13244; 7608; 20081,http://www.rxlist.com/cgi/generic2/betamet.htm,,Betamethasone,http://www.drugs.com/cdi/betamethasone.html,,9399,73823,DAP001043
DB00444,Teniposide,29767-20-2,SmallMoleculeDrug,C11153,D02698,,,,PA451611,9TP,,,,1924,http://www.rxlist.com/cgi/generic2/teniposide.htm,,Teniposide,http://www.drugs.com/cdi/teniposide.html,,398606,,DAP000651
DB00445,Epirubicin,56420-45-2,SmallMoleculeDrug,C11230,,41867,46507282,47898,PA449476,,,,,20259,http://www.rxlist.com/cgi/generic2/epirub.htm,,Epirubicin,http://www.drugs.com/cdi/epirubicin.html,,38201,43839,DAP000193
DB00446,Chloramphenicol,56-75-7,SmallMoleculeDrug,C00918,D00104,5959,46505318,17698,PA448927,CLM,,,,16112; 8578,http://www.rxlist.com/cgi/generic3/chloramphenicol.htm,,Chloramphenicol,http://www.drugs.com/mtm/chloramphenicol-ophthalmic.html,,5744,50028502,DAP001356
DB00448,Lansoprazole,103577-45-3,SmallMoleculeDrug,,D00355,3883,46508975,6375,PA450180,,,,,180,http://www.rxlist.com/cgi/generic/lansop.htm,,Lansoprazole,http://www.drugs.com/lansoprazole.html,,3746,47032,DAP000725
DB00449,Dipivefrin,52365-63-6,SmallMoleculeDrug,C06963,D02349,3105,46504716,4646,PA449364,,,,,1239; 8913,http://www.rxlist.com/cgi/generic2/dipivefrin.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/pro1356.shtml,Dipivefrin,http://www.drugs.com/cdi/dipivefrin.html,,2994,,DAP000593
DB00450,Droperidol,548-73-2,SmallMoleculeDrug,,D00308,3168,46505291,4717,PA449422,,,,,10123,http://www.rxlist.com/cgi/generic3/droperidol.htm,,Droperidol,http://www.drugs.com/cdi/droperidol.html,,3056,50017705,DAP000412
DB00451,Levothyroxine,51-48-9,SmallMoleculeDrug,C01829,D08125,5819,46507672,18332,PA450221,T44,,,,5325,http://www.rxlist.com/cgi/generic/levothy.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/syn1421.shtml,Levothyroxine,http://www.drugs.com/levothyroxine.html,,5614,50301375,DAP000083
DB00452,Framycetin,119-04-0,SmallMoleculeDrug,C01737,,8378,46508892,7508,PA164743181,NMY,,,,8626; 8628,,,Framycetin,,,8075,19,DNC001005
DB00453,Clomocycline,1181-54-0,SmallMoleculeDrug,,D06885,54680675,46505301,59589,PA164771235,,,,,"",,,Clomocycline,,,21251443,,DAP000882
DB00454,Pethidine,57-42-1,SmallMoleculeDrug,C07128,,4058,46506899,6754,PA450369,,,,,9118; 11358,http://www.rxlist.com/cgi/generic/meper.htm,,Meperidine,http://www.drugs.com/cdi/meperidine.html,,3918,50026752,DAP000230
DB00455,Loratadine,79794-75-5,SmallMoleculeDrug,,D00364,3957,46507853,6538,PA450266,,,,,1299,http://www.rxlist.com/cgi/generic/lorat.htm,,Loratadine,http://www.drugs.com/cdi/loratadine.html,,3820,22876,DAP000101
DB00456,Cefalotin,153-61-7,SmallMoleculeDrug,C07761,,6024,46509079,124991,PA448886,CLS,,,,8471; 8472,,,Cefalotin,,,5802,82898,DAP000155
DB00457,Prazosin,19216-56-9,SmallMoleculeDrug,C07368,,4893,46508594,8364,PA451093,XRA,,,,11108; 2193,http://www.rxlist.com/cgi/generic3/prazosin.htm,,Prazosin,http://www.drugs.com/cdi/prazosin.html,,4724,29568,DAP000300
DB00458,Imipramine,50-49-7,SmallMoleculeDrug,C07049,,3696,46507351,47499,PA449969,IXX,,,,9267,http://www.rxlist.com/cgi/generic/imip.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tof1448.shtml,Imipramine,http://www.drugs.com/cdi/imipramine.html,,3568,50010859,DAP001154
DB00459,Acitretin,55079-83-9,SmallMoleculeDrug,,D02754,5284513,46509178,50173,PA448039,,,,,1209,http://www.rxlist.com/cgi/generic3/acitretin.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/sor1698.shtml,Acitretin,http://www.drugs.com/cdi/acitretin.html,,4447573,50088429,DAP000743
DB00460,Verteporfin,129497-78-5,SmallMoleculeDrug,,D01162,5362420,46506236,,PA451871,,,,,11996,http://www.rxlist.com/cgi/generic2/verteporfin.htm,,Verteporfin,http://www.drugs.com/cdi/verteporfin.html,,4515032,,
DB00461,Nabumetone,42924-53-8,SmallMoleculeDrug,,D00425,4409,46507729,7443,PA450572,NBO,,,,946,http://www.rxlist.com/cgi/generic/nabume.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/rel1370.shtml,Nabumetone,http://www.drugs.com/cdi/nabumetone.html,,4256,40128,DAP000735
DB00462,Methylscopolamine bromide,155-41-9,SmallMoleculeDrug,,D00715,23724781,46506260,6845,PA164784032,,,,,8989,,,Methylscopolamine,,,26329507,,DAP001126
DB00464,Sodium Tetradecyl Sulfate,139-88-8,SmallMoleculeDrug,,D06882,,,75273,PA164746759,,,,,6212,http://www.rxlist.com/cgi/generic2/sotradecol.htm,,,http://www.drugs.com/cdi/sodium-tetradecyl-sulfate.html,,8440,,DAP001276
DB00465,Ketorolac,74103-06-3,SmallMoleculeDrug,C07062,,3826,46507019,76223,PA450150,,,,,1241,http://www.rxlist.com/cgi/generic/ketor.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/acu1644.shtml,Ketorolac,http://www.drugs.com/cdi/ketorolac-drops.html,,3694,85511,DAP000618
DB00467,Enoxacin,74011-58-8,SmallMoleculeDrug,C06979,D00310,3229,46507505,157175,PA449462,,,,,"",http://www.rxlist.com/cgi/generic2/enoxacin.htm,,Enoxacin,http://www.drugs.com/mtm/enoxacin.html,,3116,50296358,DAP001000
DB00468,Quinine,130-95-0,SmallMoleculeDrug,C06526,,3034034,46507493,15854,PA451213,QI9,,,,7234; 20344; 10037,http://www.rxlist.com/cgi/generic3/quinine.htm,,Quinine,http://www.drugs.com/cdi/quinine.html,,84989,50367247,DAP000491
DB00469,Tenoxicam,59804-37-4,SmallMoleculeDrug,,D01767,,,32192,PA131890625,,,,,1220,,,,,,10442339,92332,DAP000736
DB00470,Dronabinol,1972-08-3,SmallMoleculeDrug,C06972,D00306,16078,46508472,66964,PA449421,TCI,,,,13359; 8285,http://www.rxlist.com/cgi/generic2/drona.htm,,Marinol,,,15266,50007391,DAP000207
DB00471,Montelukast,158966-92-8,SmallMoleculeDrug,C07482,,5281040,46505585,50730,PA450546,MTK,,,,11784,http://www.rxlist.com/cgi/generic3/monteluk.htm,,Montelukast,http://www.drugs.com/cdi/montelukast.html,,4444507,50052024,DAP000309
DB00472,Fluoxetine,54910-89-3,SmallMoleculeDrug,,D00823,3386,46507902,86990,PA449673,,,,,11130,http://www.rxlist.com/cgi/generic/fluoxetine.htm,,Fluoxetine,http://www.drugs.com/fluoxetine.html,,3269,30130,DAP000186
DB00473,Hexylcaine,532-77-4,SmallMoleculeDrug,C14172,,10770,46506241,34791,PA164746489,,,,,"",,,Hexylcaine,,,10315,50017670,DAP000506
DB00474,Methohexital,151-83-7,SmallMoleculeDrug,C07844,D04985,9034,46507954,102216,PA164784030,,,,,8219,http://www.rxlist.com/cgi/generic3/methohexital.htm,,Methohexital,http://www.drugs.com/cdi/methohexital.html,,8683,,DAP000677
DB00475,Chlordiazepoxide,58-25-3,SmallMoleculeDrug,,D00267,,46505044,3611,PA448932,,,,,10260,http://www.rxlist.com/cgi/generic/chlordia.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/lib1225.shtml,Chlordiazepoxide,http://www.drugs.com/cdi/chlordiazepoxide.html,,10248513,50007664,DAP000084
DB00476,Duloxetine,116539-59-4,SmallMoleculeDrug,,D01179,60835,46507937,36795,PA10066,29E,,,,20171,http://www.rxlist.com/cgi/generic/cymbalta.htm,,Duloxetine,http://www.drugs.com/cdi/duloxetine-delayed-release-capsules.html,,54822,84745,DAP000494
DB00477,Chlorpromazine,50-53-3,SmallMoleculeDrug,C06906,D00270,2726,46508395,3647,PA448964,Z80,,,,8017; 20237,http://www.rxlist.com/cgi/generic3/chlorpromazine.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/chl1441.shtml,Chlorpromazine,http://www.drugs.com/cdi/chlorpromazine.html,,2625,50001888,DAP000374
DB00478,Rimantadine,13392-28-4,SmallMoleculeDrug,C07236,D08483,5071,46505973,94440,PA164748038,,,,,"",http://www.rxlist.com/cgi/generic/rimantadine.htm,,Rimantadine,http://www.drugs.com/cdi/rimantadine.html,,4893,50216627,DAP001087
DB00479,Amikacin,37517-28-5,SmallMoleculeDrug,C06820,D02543,37768,46506386,2637,PA164744372,AKN,,,,11178; 2168,http://www.rxlist.com/cgi/generic3/amikacin.htm,,Amikacin,http://www.drugs.com/cdi/amikacin.html,,34635,,DAP000400
DB00480,Lenalidomide,191732-72-6,SmallMoleculeDrug,,D04687,216326,46505725,63791,PA162363968,,,,,20185,http://www.rxlist.com/revlimid-drug.htm,,Lenalidomide,http://www.drugs.com/cdi/lenalidomide.html,,187515,50078323,DAP001255
DB00481,Raloxifene,84449-90-1,SmallMoleculeDrug,C07228,,5035,46506514,8772,PA451221,RAL,,,,11811,http://www.rxlist.com/cgi/generic/raloxif.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/evi1169.shtml,Raloxifene,http://www.drugs.com/cdi/raloxifene.html,,4859,19441,DAP000792
DB00482,Celecoxib,169590-42-5,SmallMoleculeDrug,C07589,D00567,2662,46505596,41423,PA448871,CEL,,,,11865,http://www.rxlist.com/cgi/generic/coxib.htm,,Celecoxib,http://www.drugs.com/celecoxib.html,,2562,11639,DAP000737
DB00483,Gallamine Triethiodide,65-29-2,SmallMoleculeDrug,,,6172,46508651,,PA164745088,,,,,6473,,,Gallamine_triethiodide,,,5937,,DAP001127
DB00484,Brimonidine,59803-98-4,SmallMoleculeDrug,C07886,D02076,2435,46507305,3175,PA448665,,,,,11710; 22245,http://www.rxlist.com/cgi/generic3/alphagan-p.htm,,Brimonidine,http://www.drugs.com/cdi/brimonidine.html,,2341,34572,DAP000280
DB00485,Dicloxacillin,3116-76-5,SmallMoleculeDrug,C06950,D02348,18381,46508182,4511,PA164749649,,,,,"",http://www.rxlist.com/cgi/generic2/diclox.htm,,Dicloxacillin,http://www.drugs.com/cdi/dicloxacillin.html,,17358,50350476,DAP000435
DB00486,Nabilone,51022-71-0,SmallMoleculeDrug,,D05099,5284592,46505171,,PA164746998,,,,,2071,,,Nabilone,http://www.drugs.com/cdi/nabilone.html,,4447641,50287941,DAP000067
DB00487,Pefloxacin,70458-92-3,SmallMoleculeDrug,,D02306,51081,46507338,50199,PA164742856,,,,,"",,,Pefloxacin,,,46291,57936,DAP001001
DB00488,Altretamine,645-05-6,SmallMoleculeDrug,,,2123,46505760,24564,PA164743136,,,,,1757,http://www.rxlist.com/cgi/generic/altretamine.htm,,Altretamine,http://www.drugs.com/cdi/altretamine.html,,2038,37631,DAP000989
DB00489,Sotalol,3930-20-9,SmallMoleculeDrug,C07309,,5253,46505012,63622,PA451457,,,,,2048,http://www.rxlist.com/cgi/generic/betapaceaf.htm,,Sotalol,http://www.drugs.com/cdi/sotalol.html,,5063,25762,DAP000372
DB00490,Buspirone,36505-84-7,SmallMoleculeDrug,C06861,,2477,46508113,3223,PA448689,,,,,1890,http://www.rxlist.com/cgi/generic/buspir.htm,,Buspirone,http://www.drugs.com/buspirone.html,,2383,50001859,DAP000031
DB00491,Miglitol,72432-03-2,SmallMoleculeDrug,C07708,D00625,441314,46504492,6935,PA164776726,MIG,,,,"",http://www.rxlist.com/cgi/generic2/miglitol.htm,,Miglitol,http://www.drugs.com/cdi/miglitol.html,,390074,50242271,DAP000712
DB00492,Fosinopril,98048-97-6,SmallMoleculeDrug,C07016,D00622,55891,46506495,5163,PA449710,,,,,1744,http://www.rxlist.com/cgi/generic/fosinop.htm,http://www.pdrhealth.com/drugs/rx/rx-mono.aspx?contentFileName=Mon1274.html&contentName=Monopril&contentId=,Fosinopril,http://www.drugs.com/cdi/fosinopril.html,,50469,,DAP000582
DB00493,Cefotaxime,63527-52-6,SmallMoleculeDrug,C06885,,5742673,46506911,204928,PA448852,CE3,,,,8349; 11268,http://www.rxlist.com/cgi/generic/cefotax.htm,,Cefotaxime,http://www.drugs.com/cdi/cefotaxime.html,,4674877,,DAP000146
DB00494,Entacapone,130929-57-6,SmallMoleculeDrug,C07943,D00781,5281081,46508734,4798,PA164748726,,,,,12126,http://www.rxlist.com/cgi/generic3/entac.htm,,Entacapone,http://www.drugs.com/cdi/entacapone.html,,4444537,50108879,DAP000608
DB00495,Zidovudine,30516-87-1,SmallMoleculeDrug,C07210,D00413,35370,46508240,10110,PA451954,AZZ,,,,1185,http://www.rxlist.com/cgi/generic3/zidovud.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/ret1375.shtml,Zidovudine,http://www.drugs.com/cdi/zidovudine.html,,32555,50002692,DAP000701
DB00496,Darifenacin,133099-04-4,SmallMoleculeDrug,,D01699,444031,46508104,391960,PA164774901,,,,,17051,http://www.rxlist.com/cgi/generic3/enablex.htm,,Darifenacin,http://www.drugs.com/cdi/darifenacin-extended-release-tablets.html,,392054,50109647,DAP001131
DB00497,Oxycodone,76-42-6,SmallMoleculeDrug,C08018,D05312,5284603,46508908,7852,PA450741,,,,,6165; 6167,http://www.rxlist.com/cgi/generic/oxyco.htm,,Oxycodone,http://www.drugs.com/oxycodone.html,,4447649,50370595,DAP000283
DB00498,Phenindione,83-12-5,SmallMoleculeDrug,C07584,,4760,46505018,8066,PA164784031,,,,,"",,,Phenindione,,,4596,50280157,DAP000769
DB00499,Flutamide,13311-84-7,SmallMoleculeDrug,C07653,D00586,3397,46508874,5132,PA449685,HFT,,,,1847,http://www.rxlist.com/cgi/generic2/flutam.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/eul1168.shtml,Flutamide,http://www.drugs.com/cdi/flutamide.html,,3280,50131270,DAP000301
DB00500,Tolmetin,26171-23-3,SmallMoleculeDrug,C07149,,5509,46507060,71941,PA451721,TLT,,,,11239,http://www.rxlist.com/cgi/generic2/tolmetin.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tol1449.shtml,Tolmetin,http://www.drugs.com/cdi/tolmetin.html,,5308,50295287,DAP000777
DB00501,Cimetidine,51481-61-9,SmallMoleculeDrug,C06952,D00295,2756,46505360,3699,PA449001,,,,,2165; 2164,http://www.rxlist.com/cgi/generic/cimet.htm,,Cimetidine,http://www.drugs.com/cdi/cimetidine.html,,2654,22889,DAP000338
DB00502,Haloperidol,52-86-8,SmallMoleculeDrug,C01814,D00136,3559,46508794,5613,PA449841,,,,,10146; 1903,http://www.rxlist.com/cgi/generic/haloper.htm,,Haloperidol,http://www.drugs.com/cdi/haloperidol.html,,3438,21398,DAP000313
DB00503,Ritonavir,155213-67-5,SmallMoleculeDrug,C07240,D00427,392622,46505050,45409,PA451260,RIT,,,,4,http://www.rxlist.com/cgi/generic2/ritonavirsol.htm,,Ritonavir,http://www.drugs.com/cdi/ritonavir.html,,347980,520,DAP000169
DB00504,Levallorphan,152-02-3,SmallMoleculeDrug,C07069,,5359371,46505682,6431,PA164749284,,,,,"",,,Levallorphan,,,10481920,50326673,DAP000348
DB00507,Nitazoxanide,55981-09-4,SmallMoleculeDrug,,D02486,41684,46507813,94807,PA164754874,NTI,,,,"",http://www.rxlist.com/cgi/generic/alinia.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/ali1659.shtml,Nitazoxanide,http://www.drugs.com/cdi/nitazoxanide.html,,38037,50075050,DAP001293
DB00508,Triflupromazine,146-54-3,SmallMoleculeDrug,,D00390,5568,46507344,9711,PA451773,,,,,"",,,Triflupromazine,,,5367,67544,DAP000294
DB00509,Dextrothyroxine,51-49-0,SmallMoleculeDrug,,,8730,46508471,30659,PA164752444,,,,,9800,,,Dextrothyroxine,,,8402,50225220,
DB00511,Acetyldigitoxin,1111-39-3,SmallMoleculeDrug,C16749,D06881,5284512,46507229,53773,PA164746246,,,,,"",,,Acetyldigitoxin,,,4447572,,DAP000119
DB00512,Vancomycin,1404-90-6,SmallMoleculeDrug,C06689,D00212,14969,46505261,28001,PA451850,,,,,8541; 8540,http://www.rxlist.com/cgi/generic2/vancomycin.htm,,Vancomycin,http://www.drugs.com/vancomycin.html,,14253,50335519,DAP001330
DB00513,Aminocaproic Acid,60-32-2,SmallMoleculeDrug,C02378,D00160,564,46506934,57826,PA164774947,ACA,,,,"",http://www.rxlist.com/cgi/generic/amicarpre.htm,,Aminocaproic_acid,http://www.drugs.com/cdi/aminocaproic-acid.html,,548,50357211,DAP000200
DB00514,Dextromethorphan,125-71-3,SmallMoleculeDrug,C06947,D03742,5360696,46506530,92579,PA449273,,,,,10247; 2173,,,Dextromethorphan,http://www.drugs.com/dextromethorphan.html,,13109865,50366613,DNC000541
DB00515,Cisplatin,15663-27-1,SmallMoleculeDrug,C06911,D00275,2767,46504561,27899,PA449014,,,,,13121,http://www.rxlist.com/cgi/generic3/cisplatin.htm,,Cisplatin,http://www.drugs.com/cdi/cisplatin.html,,2665,50028111,DAP000215
DB00516,Bentoquatam,1340-69-8,SmallMoleculeDrug,,,,,,PA164748098,,,,,"",,,Bentoquatam,http://www.drugs.com/mtm/bentoquatam-topical.html,,,,
DB00517,Anisotropine Methylbromide,80-50-2,SmallMoleculeDrug,C06830,D00232,21867154,46504810,2739,PA164754880,,,,,"",,,,,,10611962,,DAP000837
DB00518,Albendazole,54965-21-8,SmallMoleculeDrug,C01779,D00134,,,16664,PA164746058,ALW,,,,1263,http://www.rxlist.com/cgi/generic/albendazole.htm,,Albendazole,http://www.drugs.com/cdi/albendazole.html,,1998,50241293,DAP000951
DB00519,Trandolapril,87679-37-6,SmallMoleculeDrug,,D00383,5484727,46508300,9649,PA451737,,,,,11443,http://www.rxlist.com/cgi/generic3/mavik.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tar1425.shtml,Trandolapril,http://www.drugs.com/cdi/trandolapril.html,,4588590,50369775,DAP000583
DB00520,Caspofungin,162808-62-0,SmallMoleculeDrug,,D07626,3035406,46508288,474180,PA164743013,,,,,12330,http://www.rxlist.com/cgi/generic/caspofungin.htm,,Caspofungin,http://www.drugs.com/cdi/caspofungin.html,,411774,,DAP000547
DB00521,Carteolol,51781-06-7,SmallMoleculeDrug,C06874,,2583,46507513,3437,PA164768736,,,,,"",http://www.rxlist.com/cgi/generic2/carteol.htm,,Carteolol,http://www.drugs.com/cdi/carteolol-drops.html,,2485,50040065,DAP000065
DB00523,Alitretinoin,5300-03-8,SmallMoleculeDrug,C15493,,449171,46507356,50648,PA164746900,9CR,,,,11885,http://www.rxlist.com/cgi/generic2/alitre.htm,,Alitretinoin,http://www.drugs.com/cdi/alitretinoin.html,,395778,31892,DAP000275
DB00524,Metolazone,17560-51-9,SmallMoleculeDrug,,D00431,4170,46509058,64354,PA164781022,,,,,8133,http://www.rxlist.com/cgi/generic2/metolazone.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/zar1495.shtml,Metolazone,http://www.drugs.com/cdi/metolazone.html,,4026,25899,DAP000749
DB00525,Tolnaftate,2398-96-1,SmallMoleculeDrug,,D00381,5510,46505456,9620,PA164752438,,,,,9887,,,Tolnaftate,http://www.drugs.com/cdi/tolnaftate-cream.html,,5309,39349,DAP001237
DB00526,Oxaliplatin,61825-94-3,SmallMoleculeDrug,,D01790,,,31941,PA131285527,,,,,20139,http://www.rxlist.com/cgi/generic/eloxatin.htm,,Oxaliplatin,http://www.drugs.com/cdi/oxaliplatin.html,,8062727,,DAP000062
DB00527,Cinchocaine,85-79-0,SmallMoleculeDrug,C07879,D00733,3025,46506734,247956,PA449286,,,,,9206; 7053,,,Dibucaine,http://www.drugs.com/cdi/dibucaine-ointment.html,,2917,48532,DAP000507
DB00528,Lercanidipine,100427-26-7,SmallMoleculeDrug,,,65866,46508865,135930,PA164769058,,,,,"",,,Lercanidipine,,,59276,,DAP001261
DB00529,Foscarnet,4428-95-9,SmallMoleculeDrug,C06456,D00579,3415,46507873,127780,PA449706,PPF,,,,"",http://www.rxlist.com/cgi/generic2/foscarnet.htm,,Foscarnet,http://www.drugs.com/cdi/foscarnet.html,,3297,50011181,DAP001383
DB00530,Erlotinib,183321-74-6,SmallMoleculeDrug,,D07907,176870,46508021,114785,PA134687924,AQ4,,,,12481,http://www.rxlist.com/cgi/generic4/tarceva.htm,,Erlotinib,http://www.drugs.com/cdi/erlotinib.html,,154044,5446,DAP001010
DB00531,Cyclophosphamide,50-18-0,SmallMoleculeDrug,C07888,D07760,2907,46505441,4027,PA449165,,,,,5927,http://www.rxlist.com/cgi/generic3/cyclophosphamide.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/cyt1112.shtml,Cyclophosphamide,http://www.drugs.com/cdi/cyclophosphamide.html,,2804,,DAP000532
DB00534,Chlormerodrin,62-37-3,SmallMoleculeDrug,,,25210,46504793,59445,PA164748977,,,,,"",,,,,,2615,,DAP000754
DB00535,Cefdinir,91832-40-5,SmallMoleculeDrug,C08110,D00917,6915944,46505573,3485,PA164768739,,,,,"",http://www.rxlist.com/cgi/generic2/cefdin.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/omn1519.shtml,Cefdinir,http://www.drugs.com/cdi/cefdinir.html,,5291705,,DAP000436
DB00536,Guanidine,113-00-8,SmallMoleculeDrug,,,3520,46507543,42820,PA164781028,GAI,,,,"",,,Guanidine,http://www.drugs.com/mtm/guanidine.html,,3400,50420178,
DB00537,Ciprofloxacin,85721-33-1,SmallMoleculeDrug,C05349,D00186,2764,46504733,100241,PA449009,CPF,,,,93; 8327,http://www.rxlist.com/cgi/generic/cipro.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/cip1082.shtml,Ciprofloxacin,http://www.drugs.com/cdi/ciprofloxacin-drops.html,,2662,21690,DAP001360
DB00538,Gadoversetamide,131069-91-5,SmallMoleculeDrug,,D01646,444013,46504481,31644,PA164743703,,,,,12039,,,Gadoversetamide,,,392041,,
DB00539,Toremifene,89778-26-7,SmallMoleculeDrug,C08166,,3005573,46506087,9635,PA451731,T0R,,,,"",http://www.rxlist.com/cgi/generic2/toremifene.htm,,Toremifene,http://www.drugs.com/cdi/toremifene.html,,2275722,58492,DAP000793
DB00540,Nortriptyline,72-69-5,SmallMoleculeDrug,C07274,,4543,46507783,7640,PA450657,21B,,,,11121; 9839,http://www.rxlist.com/cgi/generic/nortrip.htm,,Nortriptyline,http://www.drugs.com/nortriptyline.html,,4384,112777,DAP001152
DB00541,Vincristine,57-22-7,SmallMoleculeDrug,C07204,D08679,5978,46507033,28445,PA451879,,,,,5895,http://www.rxlist.com/cgi/generic3/vincristine.htm,,Vincristine,http://www.drugs.com/cdi/vincristine.html,,5758,50139772,DAP000114
DB00542,Benazepril,86541-75-5,SmallMoleculeDrug,C06843,,5362124,46507884,3011,PA448561,,,,,1215,http://www.rxlist.com/cgi/generic/benaz.htm,http://www.pdrhealth.com/drugs/rx/rx-mono.aspx?contentFileName=lot1238.html&contentName=Lotensin&contentId=458,Benazepril,http://www.drugs.com/cdi/benazepril.html,,4514935,50021153,DAP000584
DB00543,Amoxapine,14028-44-5,SmallMoleculeDrug,,D00228,2170,46509117,2675,PA448405,,,,,8001,http://www.rxlist.com/cgi/generic/amoxapine.htm,,Amoxapine,http://www.drugs.com/cdi/amoxapine.html,,2085,22870,DAP001149
DB00544,Fluorouracil,51-21-8,SmallMoleculeDrug,C07649,D00584,3385,46508557,46345,PA128406956,URF,,,,6311,http://www.rxlist.com/cgi/generic3/carac.htm,,Fluorouracil,http://www.drugs.com/cdi/fluorouracil.html,,3268,50340677,DAP000829
DB00545,Pyridostigmine,155-97-5,SmallMoleculeDrug,C07410,D00487,4991,46506129,8665,PA451185,,,,,6296,http://www.rxlist.com/cgi/generic2/pyridostigmine.htm,,Pyridostigmine,http://www.drugs.com/cdi/pyridostigmine.html,,4817,50313079,DNC001171
DB00546,Adinazolam,37115-32-5,SmallMoleculeDrug,,D02770,37632,46509054,251412,PA164783813,,,,,"",,,Adinazolam,,,34519,82439,DAP001251
DB00547,Desoximetasone,382-67-2,SmallMoleculeDrug,,,5311067,46506793,691037,PA164746011,,,,,7592,http://www.rxlist.com/cgi/generic3/desoximeta.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/top1452.shtml,Desoximetasone,http://www.drugs.com/cdi/desoximetasone-cream.html,,4470604,,DAP001185
